Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g)
50:31.7,G:\WIT00021.TXT,39:54.4,,,
50:31.7,G:\WIT00021.TXT,39:54.5,0.087,-0.962,-0.271
50:31.7,G:\WIT00021.TXT,39:54.5,0.053,-0.999,-0.115
50:31.7,G:\WIT00021.TXT,39:54.6,-0.15,-1.287,-0.528
50:31.7,G:\WIT00021.TXT,39:54.7,-0.221,-0.98,-0.14
50:31.7,G:\WIT00021.TXT,39:54.7,-0.483,-0.755,0.679
50:31.7,G:\WIT00021.TXT,39:54.8,0.337,-0.549,-0.556
50:31.7,G:\WIT00021.TXT,39:54.9,0.344,-0.374,-1.424
50:31.7,G:\WIT00021.TXT,39:54.9,-0.059,-0.695,-0.425
50:31.7,G:\WIT00021.TXT,39:55.0,-0.245,-1.056,-0.512
50:31.7,G:\WIT00021.TXT,39:55.1,-0.037,-0.974,-0.4
50:31.7,G:\WIT00021.TXT,39:55.1,0.282,-1.212,-0.25
50:31.7,G:\WIT00021.TXT,39:55.2,0.31,-0.501,-0.476
50:31.7,G:\WIT00021.TXT,39:55.2,0.136,-0.66,0.739
50:31.7,G:\WIT00021.TXT,39:55.3,-0.538,-0.425,-0.132
50:31.7,G:\WIT00021.TXT,39:55.4,0.072,-0.616,0.846
50:31.7,G:\WIT00021.TXT,39:55.4,-0.453,-0.523,0.488
50:31.7,G:\WIT00021.TXT,39:55.5,-0.231,-0.587,0.708
50:31.7,G:\WIT00021.TXT,39:55.6,0.33,-0.584,0.797
50:31.7,G:\WIT00021.TXT,39:55.6,-0.211,0.296,1.285
50:31.7,G:\WIT00021.TXT,39:55.7,-0.126,0.158,1.394
50:31.7,G:\WIT00021.TXT,39:55.8,-0.106,-0.356,0.795
50:31.7,G:\WIT00021.TXT,39:55.8,-0.154,0.771,0.653
50:31.7,G:\WIT00021.TXT,39:55.9,-0.197,0.46,0.872
50:31.7,G:\WIT00021.TXT,39:56.0,0.102,0.123,0.954
50:31.7,G:\WIT00021.TXT,39:56.0,-0.325,0.623,0.994
50:31.7,G:\WIT00021.TXT,39:56.1,0.014,1.204,0.202
50:31.7,G:\WIT00021.TXT,39:56.2,0.011,0.581,0.595
50:31.7,G:\WIT00021.TXT,39:56.2,0.052,0.563,0.901
50:31.7,G:\WIT00021.TXT,39:56.3,0.102,0.626,0.991
50:31.7,G:\WIT00021.TXT,39:56.4,-0.021,1.125,0.522
50:31.7,G:\WIT00021.TXT,39:56.4,0.644,1.175,0.257
50:31.7,G:\WIT00021.TXT,39:56.5,0.097,0.564,0.686
50:31.7,G:\WIT00021.TXT,39:56.5,-0.071,0.229,1.216
50:31.7,G:\WIT00021.TXT,39:56.6,-0.422,-0.068,0.75
50:31.7,G:\WIT00021.TXT,39:56.7,-0.435,-0.335,0.671
50:31.7,G:\WIT00021.TXT,39:56.7,-0.361,-0.398,0.928
50:31.7,G:\WIT00021.TXT,39:56.8,-0.303,-0.388,0.882
50:31.7,G:\WIT00021.TXT,39:56.9,-0.151,-0.317,1.003
50:31.7,G:\WIT00021.TXT,39:56.9,-0.362,-0.316,0.849
50:31.7,G:\WIT00021.TXT,39:57.0,-0.484,-0.261,0.704
50:31.7,G:\WIT00021.TXT,39:57.1,-0.435,-0.369,0.926
50:31.7,G:\WIT00021.TXT,39:57.1,-0.393,-0.545,0.993
50:31.7,G:\WIT00021.TXT,39:57.2,-0.49,-0.32,0.746
50:31.7,G:\WIT00021.TXT,39:57.3,-0.414,-0.285,0.771
50:31.7,G:\WIT00021.TXT,39:57.3,-0.458,-0.372,0.958
50:31.7,G:\WIT00021.TXT,39:57.4,-0.404,-0.326,0.865
50:31.7,G:\WIT00021.TXT,39:57.5,-0.392,-0.292,0.833
50:31.7,G:\WIT00021.TXT,39:57.5,-0.673,-0.34,0.793
50:31.7,G:\WIT00021.TXT,39:57.6,-0.319,-0.459,0.873
50:31.7,G:\WIT00021.TXT,39:57.7,-1,-0.482,0.453
50:31.7,G:\WIT00021.TXT,39:57.7,-0.882,-0.474,0.651
50:31.7,G:\WIT00021.TXT,39:57.8,-0.679,-0.702,0.399
50:31.7,G:\WIT00021.TXT,39:57.8,-0.468,-0.761,0.396
50:31.7,G:\WIT00021.TXT,39:57.9,-0.53,-0.723,0.384
50:31.7,G:\WIT00021.TXT,39:58.0,-0.528,-0.746,0.486
50:31.7,G:\WIT00021.TXT,39:58.0,-0.484,-0.662,0.439
50:31.7,G:\WIT00021.TXT,39:58.1,-0.785,-0.458,0.412
50:31.7,G:\WIT00021.TXT,39:58.2,-0.645,-0.615,0.534
50:31.7,G:\WIT00021.TXT,39:58.2,-0.544,-0.708,0.48
50:31.7,G:\WIT00021.TXT,39:58.3,-0.477,-0.735,0.302
50:31.7,G:\WIT00021.TXT,39:58.4,-0.603,-0.878,0.11
50:31.7,G:\WIT00021.TXT,39:58.4,-0.529,-0.583,0.312
50:31.7,G:\WIT00021.TXT,39:58.5,-0.538,-0.822,0.549
50:31.7,G:\WIT00021.TXT,39:58.6,-0.283,-0.701,0.438
50:31.7,G:\WIT00021.TXT,39:58.6,-0.662,-0.936,0.489
50:31.7,G:\WIT00021.TXT,39:58.7,-0.531,-0.729,0.467
50:31.7,G:\WIT00021.TXT,39:58.8,-0.873,-0.671,0.457
50:31.7,G:\WIT00021.TXT,39:58.8,-0.404,-0.593,0.497
50:31.7,G:\WIT00021.TXT,39:58.9,-0.155,-0.869,0.467
50:31.7,G:\WIT00021.TXT,39:59.0,-0.029,-0.985,0.356
50:31.7,G:\WIT00021.TXT,39:59.0,0.066,-0.996,0.365
50:31.7,G:\WIT00021.TXT,39:59.1,-0.645,-0.948,0.335
50:31.7,G:\WIT00021.TXT,39:59.1,-0.137,-1.132,0.443
50:31.7,G:\WIT00021.TXT,39:59.2,-0.162,-0.831,0.309
50:31.7,G:\WIT00021.TXT,39:59.3,-0.418,-1.141,0.455
50:31.7,G:\WIT00021.TXT,39:59.3,-0.579,-0.738,0.248
50:31.7,G:\WIT00021.TXT,39:59.4,-0.406,-0.938,0.413
50:31.7,G:\WIT00021.TXT,39:59.5,-0.515,-0.971,0.342
50:31.7,G:\WIT00021.TXT,39:59.5,-0.482,-1.013,0.386
50:31.7,G:\WIT00021.TXT,39:59.6,-0.444,-0.979,0.369
50:31.7,G:\WIT00021.TXT,39:59.7,-0.397,-0.816,0.338
50:31.7,G:\WIT00021.TXT,39:59.7,-0.581,-0.656,0.278
50:31.7,G:\WIT00021.TXT,39:59.8,-0.763,-0.661,0.304
50:31.7,G:\WIT00021.TXT,39:59.9,-0.767,-0.876,0.365
50:31.7,G:\WIT00021.TXT,39:59.9,-0.575,-0.876,0.364
50:31.7,G:\WIT00021.TXT,40:00.0,-0.73,-0.403,0.166
50:31.7,G:\WIT00021.TXT,40:00.1,-0.547,-0.866,0.365
50:31.7,G:\WIT00021.TXT,40:00.1,-0.59,-0.865,0.343
50:31.7,G:\WIT00021.TXT,40:00.2,-0.495,-0.82,0.345
50:31.7,G:\WIT00021.TXT,40:00.3,-0.478,-0.702,0.29
50:31.7,G:\WIT00021.TXT,40:00.3,-0.543,-0.797,0.288
50:31.7,G:\WIT00021.TXT,40:00.4,-0.644,-0.893,0.347
50:31.7,G:\WIT00021.TXT,40:00.4,-0.596,-0.89,0.366
50:31.7,G:\WIT00021.TXT,40:00.5,-0.586,-0.742,0.313
50:31.7,G:\WIT00021.TXT,40:00.6,-0.61,-0.787,0.332
50:31.7,G:\WIT00021.TXT,40:00.6,-0.636,-0.787,0.373
50:31.7,G:\WIT00021.TXT,40:00.7,-0.548,-0.819,0.348
50:31.7,G:\WIT00021.TXT,40:00.8,-0.405,-0.729,0.266
50:31.7,G:\WIT00021.TXT,40:00.8,-1.508,-0.687,0.268
50:31.7,G:\WIT00021.TXT,40:00.9,-0.575,-2.478,0.995
50:31.7,G:\WIT00021.TXT,40:01.0,-0.232,-0.928,0.426
50:31.7,G:\WIT00021.TXT,40:01.0,-0.436,-0.284,0.163
50:31.7,G:\WIT00021.TXT,40:01.1,-0.319,-0.851,0.353
50:31.7,G:\WIT00021.TXT,40:01.2,-0.242,-1.119,0.41
50:31.7,G:\WIT00021.TXT,40:01.2,-0.53,-1.021,0.335
50:31.7,G:\WIT00021.TXT,40:01.3,-1.096,-0.892,0.337
50:31.7,G:\WIT00021.TXT,40:01.4,-0.313,-0.219,0.321
50:31.7,G:\WIT00021.TXT,40:01.4,-0.269,-0.928,0.36
50:31.7,G:\WIT00021.TXT,40:01.5,-0.336,-0.797,0.314
50:31.7,G:\WIT00021.TXT,40:01.6,-0.911,-0.788,0.177
50:31.7,G:\WIT00021.TXT,40:01.6,0.024,-0.941,0.691
50:31.7,G:\WIT00021.TXT,40:01.7,-0.266,-0.85,0.678
50:31.7,G:\WIT00021.TXT,40:01.7,-0.044,-1.279,0.696
50:31.7,G:\WIT00021.TXT,40:01.8,0.212,-0.383,0.617
50:31.7,G:\WIT00021.TXT,40:01.9,0.022,-0.299,0.861
50:31.7,G:\WIT00021.TXT,40:01.9,-0.123,-0.54,0.82
50:31.7,G:\WIT00021.TXT,40:02.0,-0.273,-0.373,1.076
50:31.7,G:\WIT00021.TXT,40:02.1,-0.09,-0.18,1.059
50:31.7,G:\WIT00021.TXT,40:02.1,0.188,-0.504,0.844
50:31.7,G:\WIT00021.TXT,40:02.2,0.072,-0.821,0.907
50:31.7,G:\WIT00021.TXT,40:02.3,0.356,-0.848,0.782
50:31.7,G:\WIT00021.TXT,40:02.3,0.239,-0.542,0.435
50:31.7,G:\WIT00021.TXT,40:02.4,0.417,-0.532,0.853
50:31.7,G:\WIT00021.TXT,40:02.5,0.289,-0.117,1.091
50:31.7,G:\WIT00021.TXT,40:02.5,0.261,0.223,0.278
50:31.7,G:\WIT00021.TXT,40:02.6,0.345,0.47,0.254
50:31.7,G:\WIT00021.TXT,40:02.7,-0.021,0.496,1.147
50:31.7,G:\WIT00021.TXT,40:02.7,0.298,0.675,1.012
50:31.7,G:\WIT00021.TXT,40:02.8,0.268,0.197,1.365
50:31.7,G:\WIT00021.TXT,40:02.9,0.132,-0.059,1.025
50:31.7,G:\WIT00021.TXT,40:02.9,0.313,-0.282,0.984
50:31.7,G:\WIT00021.TXT,40:03.0,0.24,-0.413,1.195
